Agent 0 positions over time:
  Step 221: x=0.079, y=0.291, g_x=0.200, g_y=0.200
  Step 222: x=0.087, y=0.287, g_x=0.200, g_y=0.200
  Step 223: x=0.094, y=0.283, g_x=0.200, g_y=0.200
  Step 224: x=0.102, y=0.279, g_x=0.200, g_y=0.200
  Step 225: x=0.108, y=0.275, g_x=0.200, g_y=0.200
  Step 226: x=0.114, y=0.272, g_x=0.200, g_y=0.200
  Step 227: x=0.120, y=0.269, g_x=0.200, g_y=0.200
  Step 228: x=0.126, y=0.265, g_x=0.200, g_y=0.200
  Step 229: x=0.131, y=0.262, g_x=0.200, g_y=0.200
  Step 230: x=0.135, y=0.260, g_x=0.200, g_y=0.200
  Step 231: x=0.140, y=0.257, g_x=0.200, g_y=0.200
  Step 232: x=0.144, y=0.254, g_x=0.200, g_y=0.200
  Step 233: x=0.148, y=0.252, g_x=0.200, g_y=0.200
  Step 234: x=0.151, y=0.249, g_x=0.200, g_y=0.200
  Step 235: x=0.154, y=0.247, g_x=0.200, g_y=0.200
  Step 236: x=0.157, y=0.245, g_x=0.200, g_y=0.200
  Step 237: x=0.160, y=0.243, g_x=0.200, g_y=0.200
  Step 238: x=0.163, y=0.241, g_x=0.200, g_y=0.200
  Step 239: x=0.165, y=0.239, g_x=0.200, g_y=0.200
  Step 240: x=0.168, y=0.237, g_x=0.200, g_y=0.200
  Step 241: x=0.170, y=0.235, g_x=0.200, g_y=0.200
  Step 242: x=0.172, y=0.234, g_x=0.200, g_y=0.200
  Step 243: x=0.174, y=0.232, g_x=0.200, g_y=0.200
  Step 244: x=0.175, y=0.231, g_x=0.200, g_y=0.200
  Step 245: x=0.177, y=0.229, g_x=0.200, g_y=0.200
  Step 246: x=0.178, y=0.228, g_x=0.200, g_y=0.200
  Step 247: x=0.180, y=0.227, g_x=0.200, g_y=0.200
  Step 248: x=0.181, y=0.225, g_x=0.200, g_y=0.200
  Step 249: x=0.182, y=0.224, g_x=0.200, g_y=0.200
  Step 250: x=0.183, y=0.223, g_x=0.200, g_y=0.200
  Step 251: x=0.184, y=0.222, g_x=0.200, g_y=0.200
  Step 252: x=0.185, y=0.221, g_x=0.200, g_y=0.200
  Step 253: x=0.186, y=0.220, g_x=0.200, g_y=0.200
  Step 254: x=0.187, y=0.220, g_x=0.200, g_y=0.200
  Step 255: x=0.187, y=0.219, g_x=0.200, g_y=0.200
  Step 256: x=0.188, y=0.218, g_x=0.200, g_y=0.200
  Step 257: x=0.189, y=0.217, g_x=0.200, g_y=0.200
  Step 258: x=0.189, y=0.216, g_x=0.200, g_y=0.200
  Step 259: x=0.190, y=0.216, g_x=0.200, g_y=0.200
  Step 260: x=0.190, y=0.215, g_x=0.200, g_y=0.200
  Step 261: x=0.191, y=0.215, g_x=0.200, g_y=0.200
  Step 262: x=0.191, y=0.214, g_x=0.200, g_y=0.200
  Step 263: x=0.192, y=0.214, g_x=0.200, g_y=0.200
  Step 264: x=0.192, y=0.213, g_x=0.200, g_y=0.200
  Step 265: x=0.192, y=0.213, g_x=0.200, g_y=0.200
  Step 266: x=0.193, y=0.212, g_x=0.200, g_y=0.200
  Step 267: x=0.193, y=0.212, g_x=0.200, g_y=0.200
  Step 268: x=0.193, y=0.211, g_x=0.200, g_y=0.200
  Step 269: x=0.193, y=0.211, g_x=0.200, g_y=0.200
  Step 270: x=0.194, y=0.211, g_x=0.200, g_y=0.200
  Step 271: x=0.194, y=0.210, g_x=0.200, g_y=0.200
  Step 272: x=0.194, y=0.210, g_x=0.200, g_y=0.200
  Step 273: x=0.194, y=0.210, g_x=0.200, g_y=0.200
  Step 274: x=0.194, y=0.209, g_x=0.200, g_y=0.200
  Step 275: x=0.194, y=0.209, g_x=0.200, g_y=0.200
  Step 276: x=0.195, y=0.209, g_x=0.200, g_y=0.200
  Step 277: x=0.195, y=0.209, g_x=0.200, g_y=0.200
  Step 278: x=0.195, y=0.208, g_x=0.200, g_y=0.200
  Step 279: x=0.195, y=0.207, g_x=0.200, g_y=0.200
  Step 280: x=0.196, y=0.206, g_x=0.200, g_y=0.200
  Step 281: x=0.196, y=0.205, g_x=0.200, g_y=0.200
  Step 282: x=0.197, y=0.204, g_x=0.200, g_y=0.200
  Step 283: x=0.198, y=0.202, g_x=0.200, g_y=0.200
  Step 284: x=0.199, y=0.201, g_x=0.200, g_y=0.200
  Step 285: x=0.200, y=0.200, g_x=0.200, g_y=0.200
  Step 286: x=0.200, y=0.198, g_x=0.200, g_y=0.200
  Step 287: x=0.201, y=0.198, g_x=0.200, g_y=0.200
  Step 288: x=0.202, y=0.197, g_x=0.200, g_y=0.200
  Step 289: x=0.202, y=0.196, g_x=0.200, g_y=0.200
  Step 290: x=0.202, y=0.196, g_x=0.200, g_y=0.200
  Step 291: x=0.202, y=0.196, g_x=0.200, g_y=0.200
  Step 292: x=0.202, y=0.196, g_x=0.200, g_y=0.200
  Step 293: x=0.202, y=0.197, g_x=0.200, g_y=0.200
  Step 294: x=0.202, y=0.197, g_x=0.200, g_y=0.200
  Step 295: x=0.202, y=0.198, g_x=0.200, g_y=0.200
  Step 296: x=0.201, y=0.198, g_x=0.200, g_y=0.200
  Step 297: x=0.201, y=0.198, g_x=0.200, g_y=0.200
  Step 298: x=0.201, y=0.199, g_x=0.200, g_y=0.200
  Step 299: x=0.200, y=0.199, g_x=0.200, g_y=0.200
  Step 300: x=0.200, y=0.199, g_x=0.200, g_y=0.200
  Step 301: x=0.200, y=0.200, g_x=0.200, g_y=0.200
  Step 302: x=0.199, y=0.200, g_x=0.200, g_y=0.200
  Step 303: x=0.200, y=0.201, g_x=0.200, g_y=0.200
  Step 304: x=0.200, y=0.201, g_x=0.200, g_y=0.200
  Step 305: x=0.200, y=0.202, g_x=0.200, g_y=0.200
  Step 306: x=0.201, y=0.203, g_x=0.200, g_y=0.200
