n_targets,n_agents,time,targets_per_agent
290,10,0.6678035259246826,"[30, 21, 36, 34, 30, 29, 27, 27, 21, 35]"
290,10,0.6630885601043701,"[28, 26, 39, 25, 38, 23, 30, 33, 30, 18]"
290,10,0.6622576713562012,"[19, 55, 26, 22, 29, 24, 27, 31, 30, 27]"
295,10,0.6214487552642822,"[25, 29, 26, 30, 29, 31, 36, 28, 34, 27]"
295,10,0.5703117847442627,"[15, 29, 37, 21, 31, 31, 33, 27, 30, 41]"
295,10,0.5308623313903809,"[32, 24, 32, 32, 38, 37, 12, 29, 33, 26]"
295,10,0.6228997707366943,"[29, 26, 25, 37, 25, 25, 42, 28, 30, 28]"
295,10,0.7108020782470703,"[49, 15, 31, 21, 34, 37, 32, 25, 20, 31]"
300,10,0.6412816047668457,"[39, 33, 25, 24, 31, 24, 34, 31, 24, 35]"
300,10,0.6345901489257812,"[25, 30, 42, 23, 21, 25, 28, 36, 30, 40]"
300,10,0.5409336090087891,"[29, 23, 37, 34, 36, 30, 28, 32, 28, 23]"
300,10,0.7058377265930176,"[28, 18, 28, 42, 28, 33, 27, 49, 17, 30]"
300,10,0.5944128036499023,"[19, 29, 27, 43, 32, 30, 30, 30, 36, 24]"
305,11,0.6619794368743896,"[26, 25, 26, 17, 21, 34, 33, 34, 33, 27, 29]"
305,11,0.8401298522949219,"[42, 27, 28, 36, 10, 19, 22, 29, 50, 26, 16]"
305,11,0.6888670921325684,"[22, 32, 23, 22, 29, 44, 17, 17, 45, 26, 28]"
305,11,0.5261287689208984,"[29, 20, 33, 23, 29, 26, 28, 39, 24, 29, 25]"
305,11,0.5562567710876465,"[32, 33, 29, 37, 29, 23, 30, 25, 27, 26, 14]"
310,11,0.4958338737487793,"[24, 23, 36, 33, 26, 24, 22, 26, 33, 30, 33]"
310,11,0.5749480724334717,"[25, 27, 30, 34, 28, 26, 42, 29, 21, 22, 26]"
310,11,0.5522634983062744,"[29, 39, 26, 23, 32, 25, 37, 27, 31, 24, 17]"
310,11,0.5722548961639404,"[29, 25, 33, 24, 32, 30, 28, 22, 27, 26, 34]"
310,11,0.6423971652984619,"[26, 23, 29, 33, 37, 27, 25, 31, 31, 15, 33]"
315,11,0.6786975860595703,"[34, 29, 33, 26, 22, 41, 15, 24, 34, 20, 37]"
315,11,0.6670525074005127,"[35, 37, 38, 26, 35, 19, 26, 20, 24, 30, 25]"
315,11,0.5236868858337402,"[30, 24, 27, 27, 32, 25, 23, 24, 32, 35, 36]"
315,11,0.7233095169067383,"[38, 32, 31, 33, 35, 18, 36, 21, 16, 26, 29]"
315,11,0.5654568672180176,"[18, 30, 36, 25, 28, 24, 30, 34, 34, 27, 29]"
320,11,0.748429536819458,"[39, 24, 32, 32, 33, 33, 29, 25, 15, 27, 31]"
320,11,0.7863531112670898,"[28, 35, 43, 26, 27, 36, 18, 26, 24, 31, 26]"
320,11,0.638822078704834,"[33, 32, 31, 35, 28, 18, 30, 28, 22, 32, 31]"
320,11,0.6555240154266357,"[28, 39, 27, 30, 35, 26, 29, 30, 37, 15, 24]"
320,11,0.7044997215270996,"[25, 27, 33, 27, 35, 35, 25, 38, 12, 34, 29]"
325,11,0.7080612182617188,"[27, 39, 31, 31, 25, 17, 27, 31, 25, 34, 38]"
325,11,0.707287073135376,"[28, 26, 31, 25, 34, 11, 38, 35, 31, 43, 23]"
325,11,0.7017576694488525,"[40, 25, 34, 25, 28, 32, 38, 19, 32, 29, 23]"
325,11,0.8654780387878418,"[31, 33, 30, 32, 22, 47, 25, 32, 29, 20, 24]"
325,11,0.6908688545227051,"[34, 28, 31, 32, 27, 35, 19, 21, 47, 25, 26]"
330,11,0.8149123191833496,"[31, 36, 23, 34, 54, 23, 23, 32, 22, 24, 28]"
330,11,0.6192588806152344,"[23, 29, 30, 19, 26, 34, 42, 38, 33, 25, 31]"
330,11,0.8913350105285645,"[22, 40, 26, 23, 32, 40, 24, 32, 33, 16, 42]"
330,11,0.9032623767852783,"[22, 47, 41, 26, 13, 24, 25, 25, 25, 45, 37]"
330,11,0.5165765285491943,"[30, 30, 37, 28, 21, 37, 20, 37, 29, 32, 29]"
335,12,0.687913179397583,"[21, 24, 32, 32, 42, 22, 29, 26, 34, 27, 20, 26]"
335,12,0.6121299266815186,"[26, 31, 31, 36, 28, 19, 30, 27, 23, 25, 27, 32]"
335,12,0.5320568084716797,"[22, 26, 39, 27, 32, 30, 28, 31, 29, 30, 23, 18]"
335,12,0.5695388317108154,"[34, 27, 24, 19, 32, 34, 26, 27, 29, 18, 28, 37]"
335,12,0.6144602298736572,"[18, 30, 26, 36, 31, 29, 27, 27, 24, 31, 21, 35]"
340,12,0.6687302589416504,"[22, 26, 29, 24, 40, 18, 27, 37, 30, 35, 25, 27]"
340,12,0.6213271617889404,"[21, 25, 20, 27, 46, 23, 30, 40, 33, 32, 25, 18]"
340,12,0.6522235870361328,"[26, 16, 26, 33, 40, 23, 18, 26, 30, 35, 28, 39]"
340,12,0.6065514087677002,"[22, 25, 23, 23, 29, 37, 31, 42, 21, 32, 22, 33]"
340,12,0.6524496078491211,"[23, 32, 37, 28, 21, 35, 30, 21, 31, 21, 34, 27]"
345,12,0.6434681415557861,"[37, 36, 22, 25, 23, 30, 29, 28, 21, 34, 34, 26]"
345,12,0.6876821517944336,"[22, 33, 30, 26, 24, 39, 25, 30, 20, 31, 28, 37]"
345,12,0.709047794342041,"[22, 23, 32, 27, 43, 33, 30, 29, 28, 31, 21, 26]"
345,12,0.6787822246551514,"[25, 31, 30, 35, 29, 17, 33, 24, 34, 32, 33, 22]"
345,12,0.7264814376831055,"[31, 30, 26, 31, 20, 34, 27, 32, 32, 29, 23, 30]"
350,12,0.5873804092407227,"[29, 30, 27, 29, 33, 31, 24, 25, 38, 22, 35, 27]"
350,12,0.7305870056152344,"[30, 34, 25, 19, 31, 25, 27, 27, 39, 25, 37, 31]"
350,12,0.6088218688964844,"[36, 28, 39, 27, 22, 26, 44, 20, 34, 29, 28, 17]"
350,12,0.6895928382873535,"[30, 16, 36, 30, 31, 20, 32, 31, 29, 20, 33, 42]"
350,12,0.9188668727874756,"[42, 21, 20, 40, 37, 31, 27, 24, 36, 16, 25, 31]"
355,12,0.7449600696563721,"[36, 29, 24, 25, 23, 37, 29, 32, 37, 29, 28, 26]"
355,12,0.715367317199707,"[28, 39, 29, 27, 40, 32, 28, 19, 23, 26, 33, 31]"
355,12,0.7738416194915771,"[31, 27, 28, 27, 18, 33, 50, 24, 30, 28, 36, 23]"
